id,name,Gender,'Eye color',Race,'Hair color',Height,Publisher,'Skin color',Alignment,Weight,Agility,'Accelerated Healing','Lantern Power Ring','Dimensional Awareness','Cold Resistance',Durability,Stealth,'Energy Absorption',Flight,'Danger Sense','Underwater breathing',Marksmanship,'Weapons Master','Power Augmentation','Animal Attributes',Longevity,Intelligence,'Super Strength',Cryokinesis,Telepathy,'Energy Armor','Energy Blasts',Duplication,'Size Changing','Density Control',Stamina,'Astral Travel','Audio Control',Dexterity,Omnitrix,'Super Speed',Possession,'Animal Oriented Powers','Weapon-based Powers',Electrokinesis,'Darkforce Manipulation','Death Touch',Teleportation,'Enhanced Senses',Telekinesis,'Energy Beams',Magic,Hyperkinesis,Jump,Clairvoyance,'Dimensional Travel','Power Sense',Shapeshifting,'Peak Human Condition',Immortality,Camouflage,'Element Control',Phasing,'Astral Projection','Electrical Transport','Fire Control',Projection,Summoning,'Enhanced Memory',Reflexes,Invulnerability,'Energy Constructs','Force Fields',Self-Sustenance,Anti-Gravity,Empathy,'Power Nullifier','Radiation Control','Psionic Powers',Elasticity,'Substance Secretion','Elemental Transmogrification',Technopath/Cyberpath,'Photographic Reflexes','Seismic Power',Animation,Precognition,'Mind Control','Fire Resistance','Power Absorption','Enhanced Hearing','Nova Force',Insanity,Hypnokinesis,'Animal Control','Natural Armor',Intangibility,'Enhanced Sight','Molecular Manipulation','Heat Generation',Adaptation,Gliding,'Power Suit','Mind Blast','Probability Manipulation','Gravity Control',Regeneration,'Light Control',Echolocation,Levitation,'Toxin and Disease Control',Banish,'Energy Manipulation','Heat Resistance','Natural Weapons','Time Travel','Enhanced Smell',Illusions,Thirstokinesis,'Hair Manipulation',Illumination,Omnipotent,Cloaking,'Changing Armor','Power Cosmic',Biokinesis,'Water Control','Radiation Immunity','Vision - Telescopic','Toxin and Disease Resistance','Spatial Awareness','Energy Resistance','Telepathy Resistance','Molecular Combustion',Omnilingualism,'Portal Creation',Magnetism,'Mind Control Resistance','Plant Control',Sonar,'Sonic Scream','Time Manipulation','Enhanced Touch','Magic Resistance',Invisibility,Sub-Mariner,'Radiation Absorption','Intuitive aptitude','Vision - Microscopic',Melting,'Wind Control','Super Breath',Wallcrawling,'Vision - Night','Vision - Infrared','Grim Reaping','Matter Absorption','The Force',Resurrection,Terrakinesis,'Vision - Heat',Vitakinesis,'Radar Sense','Qwardian Power Ring','Weather Control','Vision - X-Ray','Vision - Thermal','Web Creation','Reality Warping','Odin Force','Symbiote Costume','Speed Force','Phoenix Force','Molecular Dissipation','Vision - Cryo',Omnipresent,Omniscient
0,A-Bomb,Male,yellow,Human,'No Hair',203,'Marvel Comics',green,good,441,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,'Abe Sapien',Male,blue,'Icthyo Sapien','No Hair',191,'Dark Horse Comics',blue,good,65,True,True,False,False,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,'Abin Sur',Male,blue,Ungaran,'No Hair',185,'DC Comics',red,good,90,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Abomination,Male,green,'Human / Radiation','No Hair',203,'Marvel Comics',green,bad,441,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Abraxas,Male,blue,'Cosmic Entity',Black,-99,'Marvel Comics',green,bad,-99,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,'Absorbing Man',Male,blue,Human,'No Hair',193,'Marvel Comics',green,bad,122,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,'Adam Monroe',Male,blue,Human,Blond,-99,'NBC - Heroes',green,good,-99,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,'Adam Strange',Male,blue,Human,Blond,185,'DC Comics',green,good,88,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,'Agent 13',Female,blue,Human,Blond,173,'Marvel Comics',green,good,61,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,'Agent Bob',Male,brown,Human,Brown,178,'Marvel Comics',green,good,81,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
